City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Cotmeana,RO,2021-03-25 12:43:11,44.9667,24.6167,42.62,37,100,6.85
251,Saint-Augustin,CA,2021-03-25 12:43:11,51.226,-58.6502,32.31,99,100,5.73
252,Dalvik,IS,2021-03-25 12:43:12,65.9702,-18.5286,30.2,80,20,20.71
253,Sitio Novo Do Tocantins,BR,2021-03-25 12:43:12,-5.5183,-47.4611,80.6,89,75,5.75
254,Vaitape,PF,2021-03-25 12:43:12,-16.5167,-151.75,83.57,73,100,19.55
255,Bambous Virieux,MU,2021-03-25 12:43:13,-20.3428,57.7575,84.0,83,75,3.44
256,Conde,BR,2021-03-25 12:43:13,-7.2597,-34.9075,82.4,83,75,9.22
257,Khatanga,RU,2021-03-25 12:43:14,71.9667,102.5,-8.39,92,75,4.7
258,Cockburn Town,TC,2021-03-25 12:43:14,21.4612,-71.1419,77.31,76,1,18.66
259,Bani,DO,2021-03-25 12:41:28,18.2833,-70.3333,75.99,88,20,12.28
260,Namibe,AO,2021-03-25 12:43:15,-15.1961,12.1522,78.57,71,46,11.45
261,Mitsamiouli,KM,2021-03-25 12:43:15,-11.3847,43.2844,83.68,70,8,0.83
262,Cairns,AU,2021-03-25 12:43:15,-16.9167,145.7667,80.6,83,40,2.3
263,Marawi,PH,2021-03-25 12:43:16,7.9986,124.2928,80.01,87,30,8.01
264,Thunder Bay,CA,2021-03-25 12:38:40,48.4001,-89.3168,16.0,79,40,6.91
265,Erzurum,TR,2021-03-25 12:43:16,40.0,41.5,33.8,60,75,21.85
266,Hofn,IS,2021-03-25 12:43:17,64.2539,-15.2082,35.6,80,90,14.97
267,Saint George,US,2021-03-25 12:43:17,37.1041,-113.5841,51.01,27,40,11.5
268,Luzhou,CN,2021-03-25 12:43:17,28.8724,105.4405,60.37,81,100,4.61
269,Vila Velha,BR,2021-03-25 12:43:18,-20.3297,-40.2925,84.2,65,0,3.56
270,Esperance,AU,2021-03-25 12:43:18,-33.8667,121.9,60.8,63,0,4.61
271,Lata,PT,2021-03-25 12:43:19,40.1629,-8.3327,64.99,68,100,7.0
272,Grindavik,IS,2021-03-25 12:43:19,63.8424,-22.4338,32.0,69,0,17.27
273,Sarkand,KZ,2021-03-25 12:43:20,45.41,79.9186,48.58,56,100,9.06
274,Coihaique,CL,2021-03-25 12:43:20,-45.5752,-72.0662,37.4,87,20,6.91
275,Banyo,CM,2021-03-25 12:43:20,6.75,11.8167,86.94,32,100,5.66
276,Port Blair,IN,2021-03-25 12:43:21,11.6667,92.75,82.76,72,70,6.08
277,Punta Umbria,ES,2021-03-25 12:43:21,37.1821,-6.9661,66.0,68,7,1.01
278,Tura,IN,2021-03-25 12:40:09,25.5198,90.2201,77.04,18,0,2.55
279,Ahuimanu,US,2021-03-25 12:43:21,21.4447,-157.8378,75.2,78,75,6.78
280,Bosaso,SO,2021-03-25 12:41:04,11.2842,49.1816,83.98,47,5,11.43
281,Dunapataj,HU,2021-03-25 12:43:22,46.644,18.9963,55.0,34,0,6.91
282,Itarema,BR,2021-03-25 12:43:22,-2.9248,-39.9167,83.21,70,58,8.9
283,Jacareacanga,BR,2021-03-25 12:43:23,-6.2222,-57.7528,73.4,100,90,2.3
284,Monrovia,LR,2021-03-25 12:43:23,6.3005,-10.7969,87.8,66,75,5.75
285,Nsukka,NG,2021-03-25 12:43:24,6.8561,7.3927,83.41,55,92,7.16
286,Dunedin,NZ,2021-03-25 12:43:24,-45.8742,170.5036,57.99,91,47,5.99
287,Hambantota,LK,2021-03-25 12:43:24,6.1241,81.1185,80.6,83,75,2.3
288,Belyy Yar,RU,2021-03-25 12:43:25,53.6039,91.3903,33.8,55,95,4.47
289,Egvekinot,RU,2021-03-25 12:43:25,66.3167,-179.1667,-10.64,91,54,8.05
290,Tevriz,RU,2021-03-25 12:43:26,57.509,72.4042,26.89,89,62,4.32
